Trained Dataset,Tested Dataset,Loss,Accuracy,F1 Score
EMNIST ByClass,EMNIST ByClass,0.3075418770313263,0.883280873298645,0.8725914746932758
EMNIST ByClass,EMNIST ByMerge,2.6357359886169434,0.9218032702326301,0.9188128915615319
EMNIST ByClass,EMNIST Balanced,3.510457754135132,0.9104739613809245,0.9071332258955903
EMNIST ByMerge,EMNIST ByClass,,0.9179432953353622,0.9128123658274143
EMNIST ByMerge,EMNIST ByMerge,0.22689427435398102,0.9132494330406189,0.9095271335038253
EMNIST ByMerge,EMNIST Balanced,0.26571568846702576,0.9005266427993774,0.8968491920856104
EMNIST Balanced,EMNIST ByClass,,0.8360155430615017,0.8361739073635114
EMNIST Balanced,EMNIST ByMerge,0.47733402252197266,0.8361015319824219,0.8380244289350974
EMNIST Balanced,EMNIST Balanced,0.48980745673179626,0.8378637433052063,0.835390914695038
