Learning Rate,Loss,Accuracy,Training Time
1e−3,0.31008315086364746,0.8824813961982727,682.5360732078552
9e−4,0.31152665615081787,0.8821805119514465,709.1995708942413
8e−4,0.3111644387245178,0.8825845718383789,710.5052466392517
7e−4,0.309142142534256,0.8827564716339111,696.1871516704559
6e−4,0.30977505445480347,0.8827736973762512,714.4603724479675
5e−4,0.30878618359565735,0.8836591243743896,850.5626971721649
4e−4,0.31135493516921997,0.8837107419967651,944.6420514583588
3e−4,0.3066641092300415,0.8837623000144958,831.2444927692413
2e−4,0.30846136808395386,0.8833582401275635,1075.0497341156006
1e−4,0.3074038624763489,0.8831175565719604,1652.2925155162811
